등급,가격,개봉여부,미세손상,외관손상,내부LCD손상,화면잔상,기능불량,기종,용량
D,307000.0,개봉,"전면, 테두리","전면, 테두리",없음,없음,배터리성능저하,아이폰 13 미니,256GB
C,15000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,없음,없음,갤럭시 노트 5,64GB
D,349000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,없음,없음,아이폰 12 프로,256GB
A,615000.0,개봉,테두리,없음,없음,없음,배터리성능저하,갤럭시Z플립5,512GB
E,83000.0,개봉,없음,없음,없음,없음,없음,아이폰 XS,256GB
A,267000.0,개봉,전면,테두리,LCD 파손,없음,검수중,갤럭시 Z플립3,256GB
A,570000.0,개봉,전면,테두리,LCD 파손,없음,검수중,아이폰 12 프로 맥스,256GB
D,252000.0,개봉,전면,없음,없음,없음,와이파이,아이폰 12 프로,128GB
C,384000.0,개봉,테두리,후면,없음,없음,없음,아이폰 13,128GB
F,2000.0,개봉,없음,테두리,LCD 파손,"전원, 터치",검수중,갤럭시 Z플립3,256GB
D,35000.0,개봉,"전면, 후면, 테두리","전면, 테두리",없음,없음,카메라,아이폰 8,64GB
A,95000.0,개봉,없음,없음,없음,없음,없음,갤럭시 A32,64GB
B,162000.0,개봉,후면,없음,없음,없음,없음,갤럭시 Z플립3,256GB
D,202000.0,개봉,전면,테두리,없음,없음,배터리성능저하,아이폰 12 미니,256GB
B,150000.0,개봉,테두리,없음,없음,없음,없음,갤럭시 S10 플러스,128GB
D,142000.0,개봉,테두리,"전면, 테두리",없음,없음,없음,아이폰 8 플러스,256GB
B,307000.0,개봉,테두리,없음,없음,없음,없음,아이폰 XS Max,256GB
D,135000.0,개봉,"전면, 테두리",없음,없음,없음,배터리성능저하,아이폰 XS,64GB
D,95000.0,개봉,"전면, 테두리","전면, 테두리",없음,없음,없음,아이폰 X,64GB
A,247000.0,개봉,없음,없음,없음,없음,없음,갤럭시 노트20,256GB
D,192000.0,개봉,"전면, 테두리",없음,없음,없음,배터리성능저하,아이폰 12,64GB
A,400000.0,개봉,없음,없음,없음,없음,없음,갤럭시 S22,256GB
D,207000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,없음,배터리성능저하,아이폰 11 프로,64GB
D,389000.0,개봉,없음,"후면, 테두리",없음,없음,"배터리성능저하, 카메라",아이폰 12 프로 맥스,256GB
D,427000.0,개봉,"후면, 테두리",없음,없음,없음,"카메라, 배터리성능저하",아이폰 13 프로,256GB
D,292000.0,개봉,테두리,전면,없음,없음,없음,아이폰 12 프로,128GB
C,130000.0,개봉,없음,테두리,없음,없음,없음,갤럭시 노트 10,256GB
D,115000.0,개봉,"전면, 테두리","전면, 후면, 테두리",없음,없음,배터리성능저하,아이폰 8 플러스,64GB
A,142000.0,개봉,없음,없음,없음,없음,없음,갤럭시 S10E,128GB
C,114000.0,개봉,후면,후면,없음,없음,없음,갤럭시 S20,128GB
B,102000.0,개봉,테두리,없음,없음,없음,없음,갤럭시 S9 플러스,64GB
A,175000.0,개봉,없음,없음,없음,없음,없음,아이폰 SE2 (2020),256GB
A,517000.0,개봉,없음,없음,없음,없음,없음,아이폰 12 프로 맥스,128GB
C,187000.0,개봉,테두리,후면,LCD 파손,배터리성능저하,검수중,아이폰 11,128GB
E,67000.0,개봉,없음,없음,없음,없음,없음,아이폰 X,256GB
B,102000.0,개봉,없음,없음,없음,없음,없음,갤럭시 S9 플러스,64GB
A,460000.0,개봉,테두리,"전면, 후면",LCD 파손,배터리성능저하,검수중,아이폰 13,128GB
A,57000.0,개봉,없음,없음,없음,없음,없음,갤럭시 S7 엣지,32GB
A,57000.0,개봉,테두리,테두리,없음,없음,배터리성능저하,갤럭시 S7 엣지,32GB
A,57000.0,개봉,테두리,"전면, 후면",없음,없음,배터리성능저하,갤럭시 S7 엣지,32GB
A,98000.0,개봉,없음,없음,없음,없음,없음,갤럭시 S9,64GB
A,267000.0,개봉,전면,후면,없음,없음,"카메라, 배터리성능저하",갤럭시 Z플립3,256GB
E,155000.0,개봉,전면,없음,없음,없음,없음,아이폰 11 프로,256GB
D,242000.0,개봉,테두리,테두리,없음,없음,없음,아이폰 12,128GB
D,142000.0,개봉,없음,후면,없음,없음,없음,아이폰 XS,256GB
A,52000.0,개봉,"전면, 테두리",전면,없음,없음,펜분실,갤럭시 노트 5,64GB
D,417000.0,개봉,"전면, 테두리","전면, 테두리",없음,없음,없음,아이폰 13 프로,256GB
C,227000.0,개봉,없음,없음,없음,없음,없음,아이폰 11,128GB
